Start,Stop
318,1673
3121,4464
5238,5981
6030,797
8065,10593
11166,12242
12990,13886
14083,14814
14943,15065
15609,15668
16219,17325
17828,17899
18139,19323
21652,23085
24194,24934
25158,2522
25286,25351
25862,26665
27495,28199
28254,28895
29042,2911
29350,29415
29967,31004
31575,31631
31759,31809
32197,32535
33197,33322
34654,35619
35802,38018
39385,4047
40705,4173
41800,43188
43539,43598
44239,44334
44708,45223
45325,46434
46997,4723
47499,47591
47722,47994
48080,49306
49585,49878
49930,4998
50070,50129
50514,50753
50907,51518
51775,52389
54235,54672
54839,56812
57083,57145
57286,58638
58897,60189
60506,60799
60948,64154
64950,66146
67495,70656
71064,71363
71564,72061
72408,74222
74572,75228
75522,75665
76018,76125
76262,76984
77421,77498
77675,77737
78066,78374
78686,78811
79047,7982
80261,80869
81658,82617
82959,84437
85025,85627
88888,94767
95241,9707
97286,97369
98182,98412
98583,99905
100964,1021
102423,103
103318,1038
104134,1051
105288,1059
106988,1074
107499,1078
108082,1083
108395,1086
108726,1093
109349,1097
110315,1104
111835,1119
111966,1123
112386,1133
113815,1139
116972,1178
118145,1183
118489,119
119060,1198
121820,1221
122795,1232
123563,1237
123760,1241
124104,1245
124679,1248
124867,1264
126648,1272
127675,1277
127866,1283
128634,1292
129694,1302
130652,1314
133422,1335
134219,1347
135798,1359
136391,1364
136529,1367
136780,137
137316,1374
137449,1389
138999,1399
140120,1402
141052,1413
141376,1417
142480,1425
144097,1443
144397,1448
145869,1463
146849,1469
147399,1478
147884,1483
149616,1497
150232,1512
151402,1519
151998,1526
152833,1529
153608,1559
156705,1568
160740,1614
162898,163
163116,1632
163465,1643
164365,1644
164525,1647
165008,1655
165565,1656
165761,1666
167086,1679
168011,1693
169510,172
172245,1723
172450,1725
172608,1727
174834,1757
175766,1778
177924,1791
179720,1801
180139,1809
181007,1811
181187,1813
182603,1856
186044,1861
187039,1879
187957,1895
189625,1904
190696,1919
193417,1935
193593,1939
193989,1949
194949,1956
195793,1966
196786,1975
197512,1982
199083,1994
200094,2004
200522,2008
200971,2011
201217,2026
202782,2036
205819,2074
207739,2093
209470,2114
211452,2123
212366,2127
212824,2133
215721,2163
216434,217
217125,2177
217800,2213
221817,223
223139,2233
223490,2239
224027,2245
224664,2265
226854,2289
229720,2298
230374,2307
230840,2318
232662,2335
233560,2339
234916,235
235083,2354
235524,237
238119,2382
238536,2386
238663,2388
240178,2403
241435,2417
242414,2425
243171,2433
244140,2443
244557,2446
244684,2448
245383,2454
246199,2463
247456,2477
248555,249
249112,2492
249541,2506
250661,2531
253200,2546
254707,2558
256491,257
257109,2585
258739,2588
259175,2593
259477,2609
261349,2614
261565,2616
261768,2621
262308,2624
262421,2626
262657,2633
263366,2635
264432,2649
265029,2655
265494,2662
266303,2664
266431,2669
267010,2674
267530,2679
268374,2689
268991,2691
269634,2697
270648,271
271051,2712
271257,2713
271480,2725
273003,2766
276728,2803
280410,281
282063,2821
282755,2842
284365,286
286219,2877
287853,289
289139,2896
290186,2905
290593,2912
291312,2932
294739,2949
297842,2979
299302,2994
299607,3006
303824,3039
304133,3047
309865,3107
310932,3116
311830,3137
314984,3158
315945,3168
316873,3184
318419,3185
319009,3192
319235,3195
320542,3213
321495,3215
321657,3217
323557,3237
326149,3262
326618,3267
327511,3276
327618,3279
328759,3288
329556,33
